Transaction Date,Description,Amount
09/21/2018,Yellowtail Hibachi & Sush STAMFORD CT,29.51
09/22/2018,MCDONALD'S F748 GREENWICH CT,2.13
09/22/2018,MCDONALD'S F748 GREENWICH CT,1.06
09/23/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
09/24/2018,JEUNESSE GLOBAL 321-2757200 FL,1518.88
07/27/2022,AUTOMATIC PAYMENT - THANK YOU,-3850.30
07/02/2022,MCDONALD'S F3240 PORT CHESTER NY,5.62
07/02/2022,MCDONALD'S F3240 PORT CHESTER NY,1.08
07/02/2022,CT DMV SELF SERVICE TR 860-2635700 CT,157.50
07/07/2022,MTA*MNR ETIX TICKET 877-690-5116 NY,27.50
07/10/2022,MCDONALD'S F3345 RIVERSIDE CT,5.79
07/10/2022,MCDONALD'S F3345 RIVERSIDE CT,1.07
07/17/2022,McDonald's 3240 PORT CHESTER NY,5.62
07/26/2022,TMOBILE*AUTO PAY 800-937-8997 WA,187.14
07/28/2022,AMZN Mktp US*UT7X641A3 Amzn.com/bill WA,14.43
07/28/2022,MTA*MNR ETIX TICKET 877-690-5116 NY,27.50
07/30/2022,MCDONALD'S F3240 PORT CHESTER NY,1.08
07/30/2022,MCDONALD'S F3240 PORT CHESTER NY,5.62
08/01/2022,ANNUAL MEMBERSHIP FEE,95.00
07/21/2022,ROBERT A WOODBURY MD RIVERSIDE CT,50.00
11/22/2020,AUTOMATIC PAYMENT - THANK YOU,-1427.40
10/31/2020,CARNEGIE MELLON UNI 617-454-6707 CT,75.00
11/12/2020,& CT NATURAL GAS 860-524-8361 CT,52.07
11/21/2020,H MART - HARTSDALE HARTSDALE NY,85.50
11/21/2020,TRADER JOE'S #533  QPS HARTSDALE NY,47.66
11/22/2020,APPLE.COM/US 800-676-2775 CA,1068.95
02/22/2018,AUTOMATIC PAYMENT - THANK YOU,-1514.04
01/26/2018,SQ *BIBBLE & SIP New York NY,7.62
02/03/2018,KOHL'S #0397 PORT CHESTER NY,41.12
02/02/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,253.00
02/04/2018,4036 Dominos Pizza 203-661-2202 CT,12.74
02/04/2018,TANDORI TASTE OF INDIA WHITE PLAINS NY,59.38
02/09/2018,SPOTHERO 844-324-7768 13125667768 IL,54.00
02/10/2018,JEUNESSE GLOBAL 321-2757200 FL,501.08
02/10/2018,JEUNESSE GLOBAL 321-2757200 FL,617.39
02/11/2018,FOOD COURT JAMAICA NY,6.73
02/11/2018,FOOD COURT JAMAICA NY,3.26
02/13/2018,CONNECTICUT NATURAL U0A 860-5248361 CT,178.25
02/14/2018,JEUNESSE GLOBAL 321-2757200 FL,617.39
02/16/2018,RED LOBSTER 0351 SCARSDALE NY,112.24
02/18/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
02/20/2018,JEUNESSE GLOBAL 321-2757200 FL,2096.68
06/18/2021,DUNKIN #300396 Q35 COS COB CT,2.14
06/26/2021,SIX FLAGS GREAT ADVENTUR JACKSON NJ,22.37
06/26/2021,WAWA 909      00009092 CREAM RIDGE NJ,2.34
06/26/2021,WAWA 909      00009092 CREAM RIDGE NJ,1.99
07/13/2021,USA*MAGVEND LLC FARMINGDALE NY,4.20
07/13/2021,TACO BELL #035336 NEW YORK NY,3.04
06/22/2021,AUTOMATIC PAYMENT - THANK YOU,-342.41
05/29/2021,MCDONALD'S F748 GREENWICH CT,5.57
05/29/2021,MCDONALD'S F748 GREENWICH CT,1.07
06/05/2021,MCDONALD'S F748 GREENWICH CT,1.07
06/05/2021,H MART - HARTSDALE HARTSDALE NY,77.85
06/05/2021,MCDONALD'S F748 GREENWICH CT,5.57
06/05/2021,TRADER JOE'S #533  QPS HARTSDALE NY,37.32
06/08/2021,PAYPAL *YEARBOOKWPC 660-376-3543 MO,76.84
06/12/2021,MCDONALD'S F748 GREENWICH CT,1.07
06/12/2021,SHOPRITE CMMERCE ST S1 STAMFORD CT,29.73
06/12/2021,MCDONALD'S F748 GREENWICH CT,5.57
06/13/2021,SQ *EL PATRON Port Chester NY,29.90
06/19/2021,MCDONALD'S F748 GREENWICH CT,5.57
06/19/2021,MCDONALD'S F748 GREENWICH CT,1.07
06/22/2021,THE SOURCE 4820 WHITE PLAINS NY,3.00
08/29/2022,UA.COM*888-727-6687 MD BALTIMORE MD,-23.72
09/22/2022,AUTOMATIC PAYMENT - THANK YOU,-327.23
08/28/2022,ALDI 65230  RENSSELAER RENSSELAER NY,5.54
09/01/2022,CVS/PHARMACY #01280 GREENWICH CT,104.50
09/03/2022,WAL-MART #3547 NORWALK CT,6.72
09/03/2022,HOMEGOODS #244 NORWALK CT,3.19
09/02/2022,CVS/PHARMACY #01280 GREENWICH CT,117.85
09/03/2022,Amazon web services aws.amazon.co WA,105.90
09/07/2022,KEURIG GREEN MOUNTAIN 866-901-2739 VT,47.20
09/18/2022,MCDONALD'S F748 GREENWICH CT,5.79
09/18/2022,H MART - HARTSDALE HARTSDALE NY,94.29
09/18/2022,TRADER JOE'S #533  QPS HARTSDALE NY,23.73
01/27/2023,AUTOMATIC PAYMENT - THANK YOU,-556.85
01/02/2023,KOHL'S #0398 NORWALK CT,127.62
01/02/2023,THAI SPICE NORWALK CT,49.17
01/26/2023,TMOBILE*AUTO PAY 800-937-8997 WA,266.95
01/30/2023,CL *Chase Travel TRIPCHRG.COM VA,2444.46
01/29/2023,KARAVALLI REG.CUISINE OF LATHAM NY,69.40
01/31/2023,MCDONALD'S F34636 TROY NY,11.64
01/31/2023,HILTON GARDEN INN TROY TROY NY,288.10
12/24/2022,SHOPRITE CMMERCE ST S1 STAMFORD CT,26.23
12/24/2022,SHOPRITE CMMERCE ST S1 STAMFORD CT,20.90
03/13/2020,AUTOMATIC PAYMENT - THANK YOU,-206.88
02/22/2020,DMV - APPOINTMENT SCHE 860-2635700 CT,59.00
02/26/2020,TMOBILE*AUTO PAY 800-937-8997 WA,184.90
06/22/2023,AUTOMATIC PAYMENT - THANK YOU,-201.61
06/19/2023,MTA*METROCARD MACHINE NEW YORK NY,3.00
06/19/2023,MTA*METROCARD MACHINE NEW YORK NY,3.00
06/23/2023,VERIZON*RECURRING PAY 800-VERIZON FL,49.99
05/21/2021,AUTOMATIC PAYMENT - THANK YOU,-845.11
05/01/2021,MCDONALD'S F748 GREENWICH CT,5.57
05/01/2021,MCDONALD'S F748 GREENWICH CT,1.07
05/02/2021,SHOPRITE NORWALK S1 NORWALK CT,21.08
05/02/2021,AMERICAN STEAKHOUSE - NOR NORWALK CT,48.28
05/03/2021,CVS/PHARMACY #01280 GREENWICH CT,24.16
05/08/2021,MCDONALD'S F748 GREENWICH CT,5.57
05/08/2021,MCDONALD'S F748 GREENWICH CT,1.07
05/15/2021,MCDONALD'S F748 GREENWICH CT,1.07
05/15/2021,TRADER JOE'S #533  QPS HARTSDALE NY,4.32
05/15/2021,MCDONALD'S F748 GREENWICH CT,5.57
05/15/2021,TRADER JOE'S #533  QPS HARTSDALE NY,34.99
05/15/2021,H MART - HARTSDALE HARTSDALE NY,147.20
05/22/2021,MCDONALD'S F748 GREENWICH CT,5.57
05/21/2021,SHOPRITE CMMERCE ST S1 STAMFORD CT,35.82
05/22/2021,MCDONALD'S F748 GREENWICH CT,1.07
12/13/2020,AUTOMATIC PAYMENT - THANK YOU,-70.19
11/24/2020,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,12.00
12/05/2020,MCGILL ENROLMENT SERVICES MONTREAL QC,92.36
12/06/2020,SUNY STONY BROOK U 617-454-6707 CT,50.00
12/11/2020,RENNSELAER POLYTECH 617-454-6707 CT,70.00
12/13/2020,COLGATE UNIV 617-454-6707 CT,60.00
12/13/2020,BOSTON UNIV 617-454-6707 CT,80.00
12/14/2020,NORTHEASTERN UNIV 617-454-6707 CT,75.00
12/15/2020,UNIV OF CONNECTICUT 617-454-6707 CT,80.00
12/16/2020,BRANDEIS UNIV 617-454-6707 CT,80.00
12/06/2020,FOREIGN TRANSACTION FEE,2.77
05/26/2023,AUTOMATIC PAYMENT - THANK YOU,-506.92
05/03/2023,IKEA NEW HAVEN REST NEW HAVEN CT,8.89
05/04/2023,KARAVALLI REG.CUISINE OF LATHAM NY,30.82
05/05/2023,AMZ*Monoprice amazon@monopr KY,1.35
05/06/2023,OPENAI OPENAI.COM CA,6.98
05/06/2023,McDonalds 748 120-3302329 CT,5.89
05/08/2023,GARRICK F WONG DMD LTD COS COB CT,435.00
05/07/2023,AMERICAN STEAKHOUSE - NORWALK CT,38.62
05/10/2023,5GUYS 1476 QSR STAMFORD CT,23.80
05/13/2023,CHATGPT SUBSCRIPTION OPENAI.COM CA,21.27
05/14/2023,McDonalds 748 120-3302329 CT,9.53
05/16/2023,MCDONALD'S F16332 WESTPORT CT,13.61
05/20/2023,MCDONALD'S F748 GREENWICH CT,6.97
05/21/2023,KARAVALLI REG.CUISINE OF LATHAM NY,43.62
05/23/2023,SQ *TERIYAKI ONE New York NY,11.42
05/26/2023,SHOPRITE CMMERCE ST S1 STAMFORD CT,12.84
05/26/2023,TMOBILE*AUTO PAY 800-937-8997 WA,266.45
05/27/2023,KARAVALLI REG.CUISINE OF LATHAM NY,43.62
10/13/2020,AUTOMATIC PAYMENT - THANK YOU,-769.05
09/19/2020,MCDONALD'S F3345 RIVERSIDE CT,5.46
09/26/2020,H MART - HARTSDALE HARTSDALE NY,72.53
09/26/2020,TRADER JOE'S #533  QPS HARTSDALE NY,51.06
09/26/2020,BBQ CHICKEN HARTSDALE NY,24.87
01/21/2022,AUTOMATIC PAYMENT - THANK YOU,-150.57
12/24/2021,SHOPRITE CMMERCE ST S1 STAMFORD CT,15.45
01/07/2022,TRADER JOE'S #533  QPS HARTSDALE NY,46.04
11/13/2019,AUTOMATIC PAYMENT - THANK YOU,-358.50
11/08/2019,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
10/27/2022,AUTOMATIC PAYMENT - THANK YOU,-412.75
10/02/2022,SHOPRITE CMMERCE ST S1 STAMFORD CT,59.94
10/02/2022,CT DMV ONLINE SERVICES 000-0000000 CT,96.00
10/08/2022,TRADER JOE'S #529 QPS STAMFORD CT,53.92
10/26/2022,TMOBILE*AUTO PAY 800-937-8997 WA,1.47
06/27/2023,AUTOMATIC PAYMENT - THANK YOU,-980.68
06/02/2023,PORT CHESTER COACH PORT CHESTER NY,47.75
06/05/2023,CT NATURAL GAS 860-524-8361 CT,112.39
06/06/2023,KITCHEN PARADISE NEW YORK NY,11.70
06/11/2023,SHOPRITE CMMERCE ST S1 STAMFORD CT,20.72
06/13/2023,KITCHEN PARADISE NEW YORK NY,11.70
06/13/2023,CHATGPT SUBSCRIPTION OPENAI.COM CA,21.27
06/15/2023,SQ *JAMROCK JERK gosq.com NY,17.42
06/17/2023,OPENAI OPENAI.COM CA,2.25
06/17/2023,AUNTIE ANNE'S WOODBURY CENTRAL VALLE NY,11.54
06/17/2023,4213 TONY AND BENNYS 845-9283162 NY,14.11
06/18/2023,H MART - HARTSDALE HARTSDALE NY,47.16
06/18/2023,TRADER JOE S #533 HARTSDALE NY,13.04
06/17/2023,TST* Dinosaur Bar-B-Que - Troy NY,95.76
06/18/2023,SGD DUBU HARTSDALE NY,49.82
06/19/2023,PSPI - MAIMONIDES VALLEY STREAM NY,27.00
06/19/2023,MTA*METROCARD MACHINE NEW YORK NY,3.00
06/20/2023,KITCHEN PARADISE NEW YORK NY,11.70
06/19/2023,NF BOARDWALK 718-3332205 NY,38.68
06/19/2023,MTA*METROCARD MACHINE NEW YORK NY,3.00
06/24/2023,KUMO ULTIMATE SUSHI BAR A STAMFORD CT,104.15
06/26/2023,TOYOTA OF GREENWICH COS COB CT,284.73
06/25/2023,SGD DUBU HARTSDALE NY,63.07
06/26/2023,TMOBILE*AUTO PAY 800-937-8997 WA,266.45
06/27/2023,SQ *JAMROCK JERK gosq.com NY,17.42
06/30/2023,McDonalds 748 120-3302329 CT,5.89
07/02/2023,KARAVALLI LATHAM NY,43.62
12/13/2021,AUTOMATIC PAYMENT - THANK YOU,-43.71
12/12/2021,AMTRAK .COM 3460650544045 WASHINGTON DC,38.25
05/11/2019,WAL-MART #3547 NORWALK CT,-211.64
05/22/2019,AUTOMATIC PAYMENT - THANK YOU,-4237.79
04/29/2019,TMOBILE POSTPAID WEB 800-937-8997 WA,195.57
04/28/2019,TRADER JOE'S #533  QPS HARTSDALE NY,22.14
04/29/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
04/28/2019,GYROWORLD FLUSHING NY,65.00
04/28/2019,H MART HARTSDALE HARTSDALE NY,7.94
04/29/2019,JEUNESSE LLC 321-2757200 FL,549.74
04/29/2019,CAFE 1585     18209155 NEW YORK NY,6.06
05/01/2019,MTA*MNR ETIX TICKET 877-690-5116 NY,41.00
05/01/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/02/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/04/2019,GYRO GYRO HARTSDALE NY,32.64
05/03/2019,CAFE 1585     18209155 NEW YORK NY,8.54
05/03/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/02/2019,CAFE 1585     18209155 NEW YORK NY,8.96
05/04/2019,H MART HARTSDALE HARTSDALE NY,2.97
05/04/2019,MCDONALD'S F3240 PORT CHESTER NY,5.37
05/04/2019,MCDONALD'S F3240 PORT CHESTER NY,3.75
05/08/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/11/2019,2680 AMC PORT CHESTER PORT CHESTER NY,23.38
05/11/2019,AMERICAN STEAKHOUSE - NORWALK CT,29.76
05/11/2019,2680 AMC PORT CHESTER PORT CHESTER NY,9.65
05/11/2019,2680 AMC PORT CHESTER PORT CHESTER NY,6.97
05/13/2019,CT NATURAL GAS 860-524-8361 CT,61.23
05/12/2019,SHAKE SHACK - 1210 HARTSDALE NY,21.75
05/12/2019,H MART HARTSDALE HARTSDALE NY,7.94
05/13/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/13/2019,CAFE 1585     18209155 NEW YORK NY,8.11
05/15/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/15/2019,MCDONALD'S F7552 NEW YORK NY,4.36
05/15/2019,MCDONALD'S F18884 NEW YORK NY,6.53
05/16/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/16/2019,CAFE 1585     18209155 NEW YORK NY,8.62
05/18/2019,GYRO GYRO HARTSDALE NY,46.75
05/17/2019,CAFE 1585     18209155 NEW YORK NY,9.31
05/18/2019,TRADER JOE'S #533  QPS HARTSDALE NY,22.14
05/18/2019,MCDONALD'S F3240 PORT CHESTER NY,3.43
05/19/2019,4036 Dominos Pizza 203-661-2202 CT,12.74
05/18/2019,DANNY'S CYCLES RYE BROOK NY,579.81
05/18/2019,H MART HARTSDALE HARTSDALE NY,7.94
05/18/2019,MCDONALD'S F3240 PORT CHESTER NY,5.37
05/19/2019,SHAKE SHACK - 1210 HARTSDALE NY,21.75
05/20/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/22/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
